iter	AUC	CrossEntropy
732	0.8193978667	0.4724885706
733	0.8194326162	0.4724470486
734	0.8194670677	0.4724096644
735	0.8195015788	0.4723708912
736	0.8195334673	0.4723294271
737	0.8195566237	0.4722992188
738	0.8195801973	0.4722687211
739	0.8196039796	0.4722368056
740	0.8196212053	0.4722104167
741	0.819652319	0.4721742766
742	0.8196837604	0.472139265
743	0.819704175	0.4721076389
744	0.8197437525	0.472064265
745	0.81976372	0.472036169
746	0.8197999001	0.4719947627
747	0.8198282719	0.471958478
748	0.8198616505	0.4719189236
749	0.8198857903	0.4718859954
750	0.8199025989	0.47185625
751	0.8199298978	0.4718257813
752	0.8199653029	0.4717871817
753	0.8199936152	0.4717462384
754	0.8200306892	0.4717084201
755	0.8200537562	0.4716768808
756	0.8200788796	0.4716446181
757	0.820115447	0.471601331
758	0.8201415539	0.4715708623
759	0.8201637566	0.4715406829
760	0.8201975822	0.4715047743
761	0.8202196956	0.4714717882
762	0.8202499151	0.4714357639
763	0.8202703595	0.4714094329
764	0.8202956915	0.4713752894
765	0.8203138113	0.4713486979
766	0.8203362525	0.4713113715
767	0.820353806	0.4712836516
768	0.8203747571	0.4712548611
769	0.8204096556	0.4712186632
770	0.8204349875	0.4711831308
771	0.8204605579	0.4711484086
772	0.8204903603	0.4711099537
773	0.8205097914	0.4710810475
774	0.8205366731	0.4710496528
775	0.8205613792	0.4710188368
776	0.8205906153	0.4709878762
777	0.8206225038	0.4709478877
778	0.8206641078	0.470907581
779	0.8206941485	0.4708722801
780	0.820723474	0.4708307292
781	0.8207502961	0.4707989583
782	0.8207870126	0.4707570602
783	0.8208190799	0.4707195312
784	0.8208448887	0.4706845775
785	0.8208742738	0.4706456308
786	0.8209037185	0.4706132234
787	0.8209325373	0.4705789062
788	0.8209572434	0.4705477141
789	0.8209909201	0.4705108796
790	0.8210144043	0.4704823206
791	0.8210506439	0.4704458333
792	0.8210872412	0.4704060764
793	0.8211120367	0.4703741319
794	0.8211396933	0.4703425637
795	0.8211742043	0.4703042824
796	0.8212086558	0.4702689236
797	0.8212357759	0.4702369502
798	0.8212602139	0.4702066262
799	0.8212876022	0.470167419
800	0.8213151097	0.4701332465
801	0.821338892	0.4701045139
802	0.8213682473	0.470070978
803	0.8214092851	0.4700284433
804	0.8214404583	0.4699938368
805	0.8214725852	0.4699591725
806	0.8215073347	0.4699231771
807	0.8215245605	0.4698978009
808	0.8215450644	0.469869647
809	0.8215634823	0.469845081
810	0.8215896487	0.4698148148
811	0.8216201663	0.4697837384
812	0.821643889	0.4697548322
813	0.8216762543	0.4697230613
814	0.8217028975	0.4696931424
815	0.8217284083	0.4696622685
816	0.821756959	0.4696289062
817	0.8217948079	0.4695920718
818	0.8218220472	0.4695608218
819	0.8218511343	0.46953125
820	0.821878314	0.4695006944
821	0.821893245	0.4694781829
822	0.8219173551	0.469446875
823	0.8219267726	0.4694283275
824	0.8219648004	0.4693856771
825	0.8219832778	0.4693593171
826	0.8220098913	0.4693287616
827	0.8220377564	0.4692971933
828	0.8220680356	0.4692637153
829	0.8220945001	0.4692306713
830	0.8221175075	0.4692036458
831	0.8221449554	0.4691731771
832	0.8221771121	0.4691393229
833	0.8222008944	0.469106684
834	0.8222241998	0.4690763889
835	0.8222520351	0.4690423032
836	0.8222795427	0.4690124711
837	0.8223098516	0.4689786169
838	0.8223431706	0.4689430266
839	0.8223711848	0.4689082755
840	0.822394073	0.4688820312
841	0.8224250078	0.4688486111
842	0.8224512935	0.4688188368
843	0.822476685	0.4687915509
844	0.8225062788	0.4687608218
845	0.8225345612	0.4687258681
846	0.8225600719	0.4686935764
847	0.8225876391	0.4686579861
848	0.8226107359	0.468629022
849	0.8226400614	0.4685975984
850	0.8226700425	0.4685630498
851	0.8227027059	0.4685259259
852	0.8227117658	0.4685108796
853	0.8227376938	0.4684779803
854	0.8227590322	0.4684523727
855	0.8227719069	0.4684274595
856	0.8227889538	0.4684021701
857	0.8228257298	0.4683640914
858	0.8228517175	0.4683363137
859	0.8228870034	0.4682980324
860	0.822915107	0.4682631366
861	0.8229329586	0.468240162
862	0.822952956	0.4682150174
863	0.822978735	0.468186169
864	0.8230006695	0.4681558738
865	0.8230194449	0.4681271991
866	0.8230473399	0.4680952257
867	0.8230721951	0.4680653646
868	0.8230899572	0.4680413484
869	0.8231117129	0.4680146701
870	0.8231342733	0.4679888021
871	0.8231625557	0.4679529514
872	0.8231908679	0.4679228009
873	0.8232147694	0.4678952257
874	0.8232318163	0.4678725694
875	0.823258251	0.4678442998
876	0.8232876062	0.4678119213
877	0.8233132362	0.4677808449
878	0.8233375847	0.4677519676
879	0.8233730495	0.4677153935
880	0.8233919144	0.4676884838
881	0.8234222531	0.4676561632
